Car URL,Encoded City,Ignition Type,Fuel Type,Body Type,Kilometers Driven,Transmission Type,Number of Owners,Ownership History,Car Manufacturer,Car Model,Car Model Year,Car Variant,Car Price,Mileage (km/l),Engine Capacity (L),Max Power (hp),Torque (Nm),Seats Capacity,Wheel Size (inches),Year of Registration,Fuel Type (Overview),Seats (Overview),Kilometers Driven (Overview),RTO Location,Ownership Type,Engine Displacement (L),Transmission (Overview),Year of Manufacture,Log of Car Price,Log of Overview Kilometers Driven,Log of Engine Capacity,Log of Max Power,Engine Capacity Binned,Wheel Size Binned,Engine and Torque Interaction,Car Age (years),Encoded Variant Name,Trending Text Length,Has Power Steering,Mileage Binned
5042,3,0,4,8,23000,1,1,1,12,101,2019,239,1650000.0,16.0,1368,160.0,250.0,5,0.0,2016.0,4,5,23000,346,1,1368,1,2019,14.316286451937186,10.043292972227004,7.221835825288449,5.081404364984463,3,2,342000.0,7.0,5,151,1,2
413,3,0,4,3,85589,1,2,2,8,66,2015,144,426000.0,18.7,1199,88.7,110.0,5,0.0,2016.0,4,5,85589,350,3,1199,1,2015,12.962196972666593,11.357323732875656,7.090076835776092,4.49647076906475,3,2,131890.0,7.0,4,151,1,2
859,3,0,4,3,72793,1,2,2,9,90,2017,72,616000.0,18.6,1197,81.83,114.7,5,16.0,2016.0,4,5,72793,345,3,1197,1,2017,13.331003865890963,11.195388813205843,7.088408778675395,4.416790314610172,3,0,137295.9,7.0,3,151,1,2
4834,3,0,1,9,92000,0,1,1,9,86,2013,401,490000.00000000006,22.32,1582,126.32,259.8,5,16.0,2016.0,1,5,92000,23,1,1582,0,2013,13.102162710901053,11.429554725537322,7.367077059881012,4.846703602413892,3,0,411003.60000000003,7.0,3,151,1,0
2105,3,0,4,3,95255,1,2,2,20,179,2014,1806,428000.0,22.38,1197,88.5,113.0,5,0.0,2016.0,4,5,95255,345,3,1197,1,2014,12.966880811009803,11.46432328313101,7.088408778675395,4.4942386252808095,3,2,135261.0,7.0,337,151,1,0
8031,3,0,1,5,59000,1,1,1,30,290,2019,554,2275000.0,13.68,2393,147.51,343.0,8,16.0,2016.0,1,8,59000,346,1,2393,1,2019,14.637491049927531,10.985309671896763,7.780720886117918,5.000652296042854,1,0,820799.0,7.0,4,151,1,2
1469,3,0,4,3,89242,0,1,1,20,157,2018,82,670000.0,21.4,1197,83.1,115.0,5,16.0,2016.0,4,5,89242,345,1,1197,0,2018,13.415034483903348,11.399118265193435,7.088408778675395,4.432006566978902,3,0,137655.0,7.0,23,151,1,0
238,3,0,4,3,40503,1,1,1,8,61,2012,1504,337000.0,19.4,1198,86.8,109.0,5,0.0,2016.0,4,5,40503,8,1,1198,1,2012,12.727841176689147,10.609156013649745,7.089243155027514,4.475061500641071,3,2,130582.0,7.0,40,151,1,2
4898,3,0,1,9,20000,1,1,1,9,86,2022,1510,1350000.0,25.0,1493,113.45,250.0,5,0.0,2022.0,1,5,20000,342,1,1493,1,2022,14.115615891155079,9.90353755128617,7.309212365692763,4.740138046398576,3,2,373250.0,1.0,1,151,1,0
206,3,0,4,9,96863,1,1,1,8,59,2018,1758,611000.0,19.5,1199,88.76,110.0,5,0.0,2016.0,4,5,96863,347,1,1199,1,2018,13.322853874813605,11.481063211821445,7.090076835776092,4.497139441774387,3,2,131890.0,7.0,3,151,1,2
3982,3,0,4,8,30300,1,1,1,8,69,2021,1791,975000.0,16.5,1199,88.5,110.0,5,16.0,2016.0,4,5,30300,351,1,1199,1,2021,13.790193775620484,10.318935994253193,7.090076835776092,4.4942386252808095,3,0,131890.0,7.0,15,151,1,2
3735,3,0,4,9,40000,1,2,2,8,63,2017,2099,825000.0,17.8,1497,117.3,145.0,5,15.0,2017.0,4,5,40000,15,3,1497,1,2017,13.623139877437296,10.596659732783579,7.311886164077165,4.773223770984341,3,1,217065.0,6.0,51,151,1,2
3494,3,0,1,9,120000,1,1,1,8,59,2014,1060,400000.0,25.8,1498,98.6,200.0,5,0.0,2014.0,1,5,120000,23,1,1498,1,2014,12.899222326086994,11.695255355062795,7.312553498102598,4.601162164590552,3,2,299600.0,9.0,2,151,1,0
5602,3,0,1,8,27892,1,1,1,17,147,2013,1895,900000.0,15.1,2179,140.0,330.0,7,17.0,2016.0,1,7,27892,409,1,2179,1,2013,13.710151153416941,10.236131040272427,7.687080155783135,4.948759890378168,1,0,719070.0,7.0,10,151,1,2
6543,3,0,4,3,90000,1,1,1,20,179,2020,2037,650000.0,21.21,1197,81.8,113.0,5,15.0,2020.0,4,5,90000,344,1,1197,1,2020,13.384729180332174,11.407576060361786,7.088408778675395,4.416428061391214,3,1,135261.0,3.0,60,151,1,0
